"","Portfolio Name","Security ID","Type","Quantity","Price","Date"
"15290","DHARMA EQ","QCOM US Equity","",7650,"",2016-06-08
"15291","DHARMA EQ","UTX US Equity","",6000,"",2016-06-08
"15292","DHARMA EQ","KORS US Equity","",10000,"",2016-06-08
"15293","DHARMA EQ","SLB US Equity","",7600,"",2016-06-09
"15294","DHARMA EQ","POT CN Equity","",15450,"",2016-06-09
"15295","DHARMA EQ","NOVN SW Equity","",5700,"",2016-06-09
"15296","DHARMA EQ","ROG SW Equity","",2600,"",2016-06-09
"15297","DHARMA EQ","ADEN SW Equity","",11950,"",2016-06-09
"15298","DHARMA EQ","ABBN SW Equity","",12600,"",2016-06-09
"15299","DHARMA EQ","NESN SW Equity","",8800,"",2016-06-09
"15300","DHARMA EQ","SYNN SW Equity","",2100,"",2016-06-09
"15301","DHARMA EQ","BMW GY Equity","",11100,"",2016-06-09
"15302","DHARMA EQ","SIE GY Equity","",5300,"",2016-06-09
"15303","DHARMA EQ","VOW3 GY Equity","",2000,"",2016-06-09
"15304","DHARMA EQ","SX6PEX GY Equity","",14800,"",2016-06-09
"15305","DHARMA EQ","BAS GY Equity","",6500,"",2016-06-09
"15306","DHARMA EQ","BAYN GY Equity","",8500,"",2016-06-09
"15307","DHARMA EQ","ESM16 Index","",25,"",2016-06-09
"15308","DHARMA EQ","CS FP Equity","",30400,"",2016-06-09
"15309","DHARMA EQ","MC FP Equity","",5200,"",2016-06-09
"15310","DHARMA EQ","ML FP Equity","",11200,"",2016-06-09
"15311","DHARMA EQ","SU FP Equity","",3000,"",2016-06-09
"15312","DHARMA EQ","TEC FP Equity","",5000,"",2016-06-09
"15313","DHARMA EQ","SCR FP Equity","",16500,"",2016-06-09
"15314","DHARMA EQ","ADN LN Equity","",150000,"",2016-06-09
"15315","DHARMA EQ","BLT LN Equity","",36054,"",2016-06-09
"15316","DHARMA EQ","BA/ LN Equity","",50000,"",2016-06-09
"15317","DHARMA EQ","BT/A LN Equity","",134000,"",2016-06-09
"15318","DHARMA EQ","NXT LN Equity","",4200,"",2016-06-09
"15319","DHARMA EQ","SBRY LN Equity","",155000,"",2016-06-09
"15320","DHARMA EQ","RDSA NA Equity","",7600,"",2016-06-09
"15321","DHARMA EQ","ESV US Equity","",9600,"",2016-06-09
"15322","DHARMA EQ","IUKD LN Equity","",40000,"",2016-06-09
"15323","DHARMA EQ","STX US Equity","",21100,"",2016-06-09
"15324","DHARMA EQ","SPY5 LN Equity","",8000,"",2016-06-09
"15325","DHARMA EQ","ETN US Equity","",10000,"",2016-06-09
"15326","DHARMA EQ","XDWF GY Equity","",39274.028,"",2016-06-09
"15327","DHARMA EQ","XSMI SW Equity","",11000,"",2016-06-09
"15328","DHARMA EQ","XSDR GY Equity","",5200,"",2016-06-09
"15329","DHARMA EQ","XSX6 GY Equity","",12000,"",2016-06-09
"15330","DHARMA EQ","AIR FP Equity","",16000,"",2016-06-09
"15331","DHARMA EQ","LYB US Equity","",7100,"",2016-06-09
"15332","DHARMA EQ","ATCOA SS Equity","",11100,"",2016-06-09
"15333","DHARMA EQ","ABBV US Equity","",12600,"",2016-06-09
"15334","DHARMA EQ","AAPL US Equity","",6402,"",2016-06-09
"15335","DHARMA EQ","AMAT US Equity","",30700,"",2016-06-09
"15336","DHARMA EQ","BAX US Equity","",12000,"",2016-06-09
"15337","DHARMA EQ","BA US Equity","",4550,"",2016-06-09
"15338","DHARMA EQ","CA US Equity","",15700,"",2016-06-09
"15339","DHARMA EQ","CAT US Equity","",3850,"",2016-06-09
"15340","DHARMA EQ","CVX US Equity","",3839,"",2016-06-09
"15341","DHARMA EQ","CSCO US Equity","",16000,"",2016-06-09
"15342","DHARMA EQ","TPR US Equity","",21600,"",2016-06-09
"15343","DHARMA EQ","GLW US Equity","",37500,"",2016-06-09
"15344","DHARMA EQ","DE US Equity","",4500,"",2016-06-09
"15345","DHARMA EQ","DOW US Equity","",11583,"",2016-06-09
"15346","DHARMA EQ","EMR US Equity","",12000,"",2016-06-09
"15347","DHARMA EQ","GM US Equity","",15000,"",2016-06-09
"15348","DHARMA EQ","INTC US Equity","",24000,"",2016-06-09
"15349","DHARMA EQ","JNJ US Equity","",7000,"",2016-06-09
"15350","DHARMA EQ","KLAC US Equity","",4000,"",2016-06-09
"15351","DHARMA EQ","LRCX US Equity","",5500,"",2016-06-09
"15352","DHARMA EQ","LLY US Equity","",4300,"",2016-06-09
"15353","DHARMA EQ","MRK US Equity","",13750,"",2016-06-09
"15354","DHARMA EQ","MSFT US Equity","",12450,"",2016-06-09
"15355","DHARMA EQ","PCAR US Equity","",10600,"",2016-06-09
"15356","DHARMA EQ","PFE US Equity","",15000,"",2016-06-09
"15357","DHARMA EQ","QCOM US Equity","",7650,"",2016-06-09
"15358","DHARMA EQ","UTX US Equity","",6000,"",2016-06-09
"15359","DHARMA EQ","KORS US Equity","",10000,"",2016-06-09
"15360","DHARMA EQ","SLB US Equity","",7600,"",2016-06-10
"15361","DHARMA EQ","POT CN Equity","",15450,"",2016-06-10
"15362","DHARMA EQ","NOVN SW Equity","",5700,"",2016-06-10
"15363","DHARMA EQ","ROG SW Equity","",2600,"",2016-06-10
"15364","DHARMA EQ","ADEN SW Equity","",11950,"",2016-06-10
"15365","DHARMA EQ","ABBN SW Equity","",12600,"",2016-06-10
"15366","DHARMA EQ","NESN SW Equity","",8800,"",2016-06-10
"15367","DHARMA EQ","SYNN SW Equity","",2100,"",2016-06-10
"15368","DHARMA EQ","BMW GY Equity","",11100,"",2016-06-10
"15369","DHARMA EQ","SIE GY Equity","",5300,"",2016-06-10
"15370","DHARMA EQ","VOW3 GY Equity","",2000,"",2016-06-10
"15371","DHARMA EQ","SX6PEX GY Equity","",14800,"",2016-06-10
"15372","DHARMA EQ","BAS GY Equity","",6500,"",2016-06-10
"15373","DHARMA EQ","BAYN GY Equity","",8500,"",2016-06-10
"15374","DHARMA EQ","ESM16 Index","",25,"",2016-06-10
"15375","DHARMA EQ","CS FP Equity","",30400,"",2016-06-10
"15376","DHARMA EQ","MC FP Equity","",5200,"",2016-06-10
"15377","DHARMA EQ","ML FP Equity","",11200,"",2016-06-10
