"","Portfolio Name","Security Ticker","Price","Date","Shares"
"353","DHARMA STRATEGY",".TFCFEES Equity",942040.51,2016-11-16,-1
"354","DHARMA STRATEGY",".TFCFEES Equity",944029.05,2016-11-17,-1
"355","DHARMA STRATEGY",".TFCFEES Equity",946013.73,2016-11-18,-1
"356","DHARMA STRATEGY",".TFCFEES Equity",951825.24,2016-11-21,-1
"357","DHARMA STRATEGY",".TFCFEES Equity",953832.05,2016-11-22,-1
"358","DHARMA STRATEGY",".TFCFEES Equity",955842.13,2016-11-23,-1
"359","DHARMA STRATEGY",".TFCFEES Equity",957839.23,2016-11-24,-1
"360","DHARMA STRATEGY",".TFCFEES Equity",960408.93,2016-11-25,-1
"361","DHARMA STRATEGY",".TFCFEES Equity",966217.14,2016-11-28,-1
"362","DHARMA STRATEGY",".TFCFEES Equity",969165.71,2016-11-29,-1
"363","DHARMA STRATEGY",".TFCFEES Equity",971152.23,2016-11-30,-1
"364","DHARMA STRATEGY",".TFCFEES Equity",978116.85,2016-12-01,-1
"365","DHARMA STRATEGY",".TFCFEES Equity",980049.2,2016-12-02,-1
"366","DHARMA STRATEGY",".TFCFEES Equity",985899.02,2016-12-05,-1
"367","DHARMA STRATEGY",".TFCFEES Equity",987901.12,2016-12-06,-1
"368","DHARMA STRATEGY",".TFCFEES Equity",989931.17,2016-12-07,-1
"369","DHARMA STRATEGY",".TFCFEES Equity",992006.57,2016-12-08,-1
"370","DHARMA STRATEGY",".TFCFEES Equity",994071.93,2016-12-09,-1
"371","DHARMA STRATEGY",".TFCFEES Equity",1000039.41,2016-12-12,-1
"372","DHARMA STRATEGY",".TFCFEES Equity",1002154.95,2016-12-13,-1
"373","DHARMA STRATEGY",".TFCFEES Equity",1004154.73,2016-12-14,-1
"374","DHARMA STRATEGY",".TFCFEES Equity",1006301.5,2016-12-15,-1
"375","DHARMA STRATEGY",".TFCFEES Equity",1008352.55,2016-12-16,-1
"376","DHARMA STRATEGY",".TFCFEES Equity",1014419.77,2016-12-19,-1
"377","DHARMA STRATEGY",".TFCFEES Equity",1016528.22,2016-12-20,-1
"378","DHARMA STRATEGY",".TFCFEES Equity",1018567.79,2016-12-21,-1
"379","DHARMA STRATEGY",".TFCFEES Equity",1020601.24,2016-12-22,-1
"380","DHARMA STRATEGY",".TFCFEES Equity",1022655.08,2016-12-23,-1
"381","DHARMA STRATEGY",".TFCFEES Equity",1030764.5,2016-12-27,-1
